,Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,age,Debut Age,Zodiac
0,2Soul,Kim Younghoon,1997-09-10,7 O'clock,2014-08-26,Jungle,South Korea,172.0,55.0,,,,M,26.0,16.0,Virgo
1,A.M,Seong Hyunwoo,1996-12-31,Limitless,2019-07-09,ONO,South Korea,181.0,62.0,,,,M,27.0,22.0,Capricorn
2,Ace,Jang Wooyoung,1992-08-28,VAV,2015-10-31,A team,South Korea,177.0,63.0,,,,M,31.0,23.0,Virgo
3,Aeji,Kwon Aeji,1999-10-25,Hash Tag,2017-10-11,LUK,South Korea,163.0,,Daegu,,,F,24.0,17.0,Scorpio
4,AhIn,Lee Ahin,1999-09-27,MOMOLAND,2016-11-09,Double Kick,South Korea,160.0,44.0,Wonju,,,F,24.0,17.0,Libra
5,Ahra,Go Ahra,2001-02-21,Favorite,2017-07-05,Astory,South Korea,,,Yeosu,,,F,23.0,16.0,Pisces
6,Ahyeon,Jung Ahyeon,2007-04-11,BABYMONSTER,,YG,South Korea,,,,,,F,16.0,,Aries
7,Ahyoon,Choi Subin,2004-10-23,BOTOPASS,2020-08-26,WKS ENE,South Korea,,,,,,F,19.0,15.0,Scorpio
8,Ahyoon,Shin Ahyoon,2003-09-24,Queenz Eye,2022-10-24,Big Mountain,South Korea,,,Seoul,,,F,20.0,19.0,Libra
9,Ahyoung,Cho Jayoung,1991-05-26,Dal Shabet,2011-01-03,Happy Face,South Korea,,,Seoul,,,F,32.0,19.0,Gemini
10,Ahyung,Kang Ahyoung,1996-08-27,P.O.P,2017-07-26,DWM,South Korea,,,Pohang,,,F,27.0,20.0,Virgo
11,Ailee,Lee Yejin,1989-05-30,,,,South Korea,165.0,,Denver,,,F,34.0,,Gemini
12,Aini,Kim Heejung,1991-07-13,,,,South Korea,163.0,44.0,,,Pink Fantasy,F,32.0,,Cancer
13,Aisha,Heo Yoorim,2000-07-21,Everglow,2019-03-18,Yuehua,South Korea,,,,,,F,23.0,18.0,Cancer
14,Aki,Jang Minju,2001-02-12,MAJORS,2021-03-09,ANS,South Korea,168.0,48.0,,,,F,23.0,20.0,Aquarius
15,Alex,Alexander Schmidt Lee,2004-10-06,DRIPPIN,2020-10-26,Woollim,Germany,180.0,,,,,M,19.0,16.0,Libra
16,AleXa,Kim Seri,1996-12-06,,,,USA,,,,,,F,27.0,,Sagittarius
17,Alice,Song Joohee,1990-03-21,Hello Venus,2012-05-09,Fantagio,South Korea,166.0,47.0,Wonju,,,F,33.0,22.0,Aries
